method,method_key,removal_percentage,paired_repeat_unit,n_seed_pairs,n_fold_units,mean_attribution_auc,mean_random_auc,paired_difference,ci_low,ci_high,signflip_p,pre_specified_support_direction,supports_roar_fidelity
G×I,gradient_x_input,5,30 fold×seed AUC pairs; inference on 10 fold means after 3-seed averaging,30,10,0.718494781756328,0.70733722719541,0.011157554560918,0.000265422288531403,0.0223785442974111,0.095703125,negative attribution-minus-random AUC,False
IG,integrated_gradients,5,30 fold×seed AUC pairs; inference on 10 fold means after 3-seed averaging,30,10,0.715496580032289,0.70733722719541,0.00815935283687943,-0.00382663507070575,0.0186964515132185,0.2109375,negative attribution-minus-random AUC,False
G×I,gradient_x_input,10,30 fold×seed AUC pairs; inference on 10 fold means after 3-seed averaging,30,10,0.715966339084934,0.713030266173672,0.00293607291126101,-0.01012022186545,0.0156456200358213,0.68359375,negative attribution-minus-random AUC,False
IG,integrated_gradients,10,30 fold×seed AUC pairs; inference on 10 fold means after 3-seed averaging,30,10,0.72173495790809,0.713030266173672,0.00870469173441734,-0.00752466277821023,0.0248336114985152,0.330078125,negative attribution-minus-random AUC,False
