feature_index_zero_based,gxi_mean_absolute,ig_mean_absolute,gxi_rank_ascending,ig_rank_ascending,common_structural_zero
2202,0,0,1315,1315,True
2203,0.000416512746597,0.00139315566048,15003,15011,False
2204,0,0,1316,1316,True
2205,0,0,1317,1317,True
2206,0,0,1318,1318,True
2207,0.000187874742551,0.000602560176048,13580,13505,False
2208,0.000334512238624,0.00105343619362,14506,14392,False
2209,3.96255854866e-05,0.000126893632114,11942,11921,False
2210,0,0,1319,1319,True
2211,0.000989280291833,0.00335526070558,18224,18255,False
2212,0.0015788191231,0.0053367014043,19252,19260,False
2213,0,0,1320,1320,True
2214,0.000254682439845,0.000847688119393,14052,14020,False
2215,0.000365819840226,0.00121445883997,14685,14674,False
2216,0,0,1321,1321,True
2217,0,0,1322,1322,True
2218,0.000632914947346,0.00216892920434,16575,16664,False
2219,0,0,1323,1323,True
2220,0,0,1324,1324,True
2221,0.000443673518021,0.00152018736117,15182,15252,False
2222,0,0,1325,1325,True
2223,0.00186763599049,0.0060993777588,19517,19473,False
2224,0,0,1326,1326,True
2225,0.000245850504143,0.000838861218654,13981,14008,False
2226,0.000710317050107,0.00244763842784,17049,17170,False
2227,0,0,1327,1327,True
2228,0.000239204237005,0.000883515225723,13942,14100,False
2229,0,0,1328,1328,True
2230,0,0,1329,1329,True
2231,0.000515629420988,0.00168585509527,15667,15569,False
2232,0.00132652255706,0.00429305434227,18917,18832,False
2233,4.07246843679e-05,0.000179373906576,11961,12120,False
2234,0.000592961267103,0.00192160462029,16271,16118,False
2235,0,0,1330,1330,True
2236,0.000763521064073,0.00248352298513,17355,17228,False
2237,0.00306376279332,0.0102670555934,19864,19864,False
2238,0.00109658925794,0.00348904542625,18489,18352,False
2239,0.000348429486621,0.00124622439034,14594,14726,False
2240,0,0,1331,1331,True
2241,0.00038782187039,0.00133253540844,14831,14890,False
2242,0.000363882398233,0.00117549870629,14673,14616,False
2243,0.000834473583382,0.00275978655554,17684,17615,False
2244,0,0,1332,1332,True
2245,0.00053464109078,0.00182993256021,15812,15907,False
2246,0,0,1333,1333,True
2247,0,0,1334,1334,True
2248,0.000713042216375,0.00220739841461,17061,16744,False
2249,0.00252952240407,0.00865404959768,19800,19804,False
2250,0.0013530626893,0.00460293795913,18956,18978,False
2251,0,0,1335,1335,True
2252,0,0,1336,1336,True
2253,0.00146680232137,0.00506315659732,19127,19162,False
2254,0,0,1337,1337,True
2255,0.00128512410447,0.0043096630834,18849,18840,False
2256,0.000577900500502,0.0017813318409,16153,15790,False
2257,0,0,1338,1338,True
2258,0.000174977059942,0.000433976849308,13469,13021,False
2259,0.000776341184974,0.0026053506881,17413,17418,False
2260,0,0,1339,1339,True
2261,0.00135698390659,0.00437178649008,18967,18866,False
2262,0,0,1340,1340,True
2263,0,0,1341,1341,True
2264,0.000246343610343,0.00086574035231,13984,14068,False
2265,0.00328785763122,0.0108558926731,19875,19875,False
2266,7.23621124052e-05,0.000247346790275,12351,12375,False
2267,0,0,1342,1342,True
2268,0.00185971276369,0.00616374565288,19510,19489,False
2269,0,0,1343,1343,True
2270,0.000610094168223,0.00216643302701,16407,16660,False
2271,0,0,1344,1344,True
2272,0,0,1345,1345,True
2273,0,0,1346,1346,True
2274,0,0,1347,1347,True
2275,0.000952193979174,0.00320324022323,18109,18114,False
2276,0.000709955929779,0.00237276498228,17046,17027,False
2277,0.000175746696186,0.000682531215716,13476,13680,False
2278,0,0,1348,1348,True
2279,3.30089424097e-05,0.000105305793113,11870,11850,False
