record_level,fold,seed,held_out_n,auc,accuracy,balanced_accuracy,brier,threshold
fold_seed,0,42,88,0.642968344577,0.568181818182,0.56927867151,0.384738181683,0.5
fold_seed,0,43,88,0.690192008303,0.590909090909,0.599896211728,0.243441399454,0.5
fold_seed,0,44,88,0.606123508044,0.534090909091,0.537363777893,0.407043339312,0.5
fold_ensemble,0,ensemble,88,0.641411520498,0.545454545455,0.551115723923,0.312390426382,0.5
fold_seed,1,42,88,0.774260508563,0.704545454545,0.69382459782,0.266186665287,0.5
fold_seed,1,43,88,0.733783082512,0.659090909091,0.655941878568,0.272954233811,0.5
fold_seed,1,44,88,0.746237675143,0.693181818182,0.687856772185,0.227584505816,0.5
fold_ensemble,1,ensemble,88,0.747275557862,0.727272727273,0.721328489881,0.227721736861,0.5
fold_seed,2,42,88,0.717176959004,0.625,0.624026984951,0.289010167169,0.5
fold_seed,2,43,88,0.768552153607,0.727272727273,0.719771665802,0.202226818002,0.5
fold_seed,2,44,88,0.746756616502,0.670454545455,0.665023352361,0.206387882777,0.5
fold_ensemble,2,ensemble,88,0.75038920602,0.647727272727,0.643746756617,0.210500273375,0.5
fold_seed,3,42,88,0.757654385054,0.704545454545,0.700051894136,0.202331164358,0.5
fold_seed,3,43,88,0.762324857291,0.704545454545,0.696938245978,0.1984016319,0.5
fold_seed,3,44,88,0.789828749351,0.727272727273,0.719771665802,0.185396503171,0.5
fold_ensemble,3,ensemble,88,0.786715101194,0.715909090909,0.710690192008,0.189863593254,0.5
fold_seed,4,42,88,0.659375,0.568181818182,0.5625,0.259869717596,0.5
fold_seed,4,43,88,0.659895833333,0.590909090909,0.602083333333,0.358162657256,0.5
fold_seed,4,44,88,0.681770833333,0.636363636364,0.635416666667,0.255488728973,0.5
fold_ensemble,4,ensemble,88,0.6609375,0.613636363636,0.61875,0.263417028917,0.5
fold_seed,5,42,88,0.661979166667,0.613636363636,0.608333333333,0.258535737584,0.5
fold_seed,5,43,88,0.678645833333,0.647727272727,0.654166666667,0.318852303824,0.5
fold_seed,5,44,88,0.641145833333,0.602272727273,0.59375,0.336071167435,0.5
fold_ensemble,5,ensemble,88,0.670833333333,0.636363636364,0.635416666667,0.268542527879,0.5
fold_seed,6,42,88,0.741145833333,0.647727272727,0.65625,0.327430978056,0.5
fold_seed,6,43,88,0.696354166667,0.625,0.627083333333,0.310923823236,0.5
fold_seed,6,44,88,0.711458333333,0.647727272727,0.635416666667,0.284257536468,0.5
fold_ensemble,6,ensemble,88,0.731770833333,0.613636363636,0.614583333333,0.262302808396,0.5
fold_seed,7,42,88,0.761458333333,0.670454545455,0.670833333333,0.198430806026,0.5
fold_seed,7,43,88,0.74375,0.670454545455,0.6625,0.305865977763,0.5
fold_seed,7,44,88,0.734375,0.693181818182,0.691666666667,0.217048606061,0.5
fold_ensemble,7,ensemble,88,0.7484375,0.659090909091,0.652083333333,0.217842138157,0.5
fold_seed,8,42,88,0.8015625,0.715909090909,0.710416666667,0.24379430419,0.5
fold_seed,8,43,88,0.78125,0.704545454545,0.704166666667,0.19344249178,0.5
fold_seed,8,44,88,0.7765625,0.693181818182,0.689583333333,0.270149516417,0.5
fold_ensemble,8,ensemble,88,0.7953125,0.715909090909,0.7125,0.20270829877,0.5
fold_seed,9,42,87,0.659574468085,0.609195402299,0.614095744681,0.295204821758,0.5
fold_seed,9,43,87,0.678723404255,0.597701149425,0.607180851064,0.349720779889,0.5
fold_seed,9,44,87,0.615957446809,0.597701149425,0.603457446809,0.366003273359,0.5
fold_ensemble,9,ensemble,87,0.667553191489,0.586206896552,0.592819148936,0.307518181842,0.5
