feature_index_zero_based,gxi_mean_absolute,ig_mean_absolute,gxi_rank_ascending,ig_rank_ascending,common_structural_zero
1459,2.91615160677e-05,4.07798070228e-05,2601,2372,False
1460,2.08006549656e-05,2.90521893476e-05,1073,879,False
1461,2.57123228948e-05,4.17526971432e-05,2129,2493,False
1462,2.28300705203e-05,3.75206764147e-05,1603,1883,False
1463,2.23086681217e-05,3.60861849913e-05,1470,1702,False
1464,2.00916892936e-05,2.73472669505e-05,859,662,False
1465,3.07529917336e-05,4.3420412112e-05,2726,2646,False
1466,1.75125678652e-05,2.35537827393e-05,177,98,False
1467,2.65964772552e-05,3.98854717787e-05,2268,2232,False
1468,3.49288602592e-05,6.01657302468e-05,2893,2919,False
1469,1.79250873771e-05,2.68072199106e-05,248,571,False
1470,2.06929835258e-05,3.24628454109e-05,1037,1278,False
1471,2.03666095331e-05,3.48385437974e-05,947,1563,False
1472,1.68910555658e-05,2.98363083857e-05,88,968,False
1473,1.88993381016e-05,2.68119838438e-05,497,574,False
1474,3.02101252601e-05,4.20209071308e-05,2679,2521,False
1475,2.1973537514e-05,2.83624176518e-05,1383,799,False
1476,2.70820564765e-05,4.29834835813e-05,2343,2617,False
1477,2.52428890235e-05,3.8270089135e-05,2052,1978,False
1478,2.60412780335e-05,3.99746459152e-05,2178,2244,False
1479,2.04531188501e-05,2.68729745585e-05,968,593,False
1480,2.76470218523e-05,3.96599825763e-05,2436,2185,False
1481,2.16467396967e-05,2.82060445898e-05,1307,777,False
1482,2.78510506178e-05,4.21076438215e-05,2457,2530,False
1483,3.29300419253e-05,5.56467530259e-05,2825,2838,False
1484,1.63905915542e-05,2.56412167801e-05,42,364,False
1485,2.09181962418e-05,3.04168042931e-05,1111,1034,False
1486,2.26772062888e-05,3.37466444762e-05,1567,1433,False
1487,1.8591488697e-05,3.19666360156e-05,411,1220,False
1488,1.84227083082e-05,2.44122511504e-05,361,188,False
1489,2.95748050121e-05,4.03999219998e-05,2631,2311,False
1490,2.18767563638e-05,3.08140952257e-05,1358,1091,False
1491,2.49909298873e-05,4.10265238315e-05,2014,2398,False
1492,2.44228631345e-05,3.97995318053e-05,1912,2213,False
1493,2.47936841333e-05,3.82713515137e-05,1982,1979,False
1494,2.37355179706e-05,2.90213429253e-05,1792,874,False
1495,2.73531240964e-05,3.97059448005e-05,2399,2191,False
1496,1.84176242328e-05,2.27695527428e-05,360,50,False
1497,2.40874305746e-05,3.62444734492e-05,1860,1726,False
1498,3.06729016302e-05,5.70096817682e-05,2720,2852,False
1499,1.86296074389e-05,2.66106344498e-05,422,534,False
1500,1.91670387721e-05,2.90753869194e-05,566,883,False
1501,2.20018191612e-05,3.57790559065e-05,1390,1672,False
1502,1.97961489903e-05,3.19604550896e-05,771,1219,False
1503,1.9075567252e-05,2.61844834313e-05,546,450,False
1504,3.01600302919e-05,4.20070755354e-05,2675,2519,False
1505,2.23649713007e-05,2.949962618e-05,1493,935,False
1506,2.66116840066e-05,4.04161619372e-05,2272,2314,False
1507,2.52802456089e-05,4.06161161663e-05,2057,2353,False
1508,2.50457705988e-05,4.05715727538e-05,2022,2342,False
1509,2.19202793232e-05,2.97781862173e-05,1367,961,False
1510,2.88510636892e-05,4.04943748435e-05,2574,2329,False
1511,1.85902335943e-05,2.34110957535e-05,410,84,False
1512,2.38147349592e-05,3.6890640331e-05,1811,1807,False
1513,3.56277087121e-05,5.91481402807e-05,2912,2903,False
1514,2.01312122954e-05,2.85440582957e-05,875,822,False
1515,2.4038947231e-05,3.90792156395e-05,1848,2104,False
1516,2.37945841945e-05,3.65212508768e-05,1810,1755,False
1517,1.80110328074e-05,3.29331414832e-05,270,1330,False
1518,1.89868951566e-05,2.41106572503e-05,522,144,False
1519,3.0912739021e-05,4.54244109278e-05,2732,2757,False
1520,2.17494161916e-05,3.17099111271e-05,1333,1196,False
1521,2.61506756942e-05,4.28979219578e-05,2196,2612,False
1522,2.47021216637e-05,3.81814206776e-05,1963,1960,False
1523,2.82776945824e-05,4.42892414867e-05,2506,2709,False
1524,2.07766297535e-05,2.73171062872e-05,1064,659,False
1525,2.95071731671e-05,4.05987375416e-05,2624,2348,False
1526,2.12843333429e-05,2.77077833744e-05,1209,715,False
1527,2.90568950732e-05,4.03225785703e-05,2594,2299,False
1528,3.21201187035e-05,5.48553070985e-05,2787,2825,False
1529,1.85614208021e-05,2.86684880848e-05,404,841,False
1530,2.21339250857e-05,3.36389166478e-05,1428,1415,False
1531,2.28830376727e-05,3.29207396135e-05,1617,1326,False
1532,1.7646676497e-05,2.92908516712e-05,195,911,False
1533,1.88001777133e-05,2.38041920966e-05,467,113,False
1534,2.59657772403e-05,3.72249196516e-05,2166,1843,False
1535,2.28640983551e-05,3.12834563374e-05,1613,1144,False
1536,2.39536457229e-05,3.63451472367e-05,1831,1739,False
1537,2.70373875537e-05,4.17138326156e-05,2338,2488,False
1538,2.31740687013e-05,3.59106452379e-05,1690,1684,False
1539,2.2202868422e-05,2.86701342702e-05,1444,842,False
1540,2.71242333838e-05,3.84725608455e-05,2353,2015,False
1541,2.15058207687e-05,2.67300165433e-05,1262,554,False
1542,2.52945210377e-05,3.7404417526e-05,2062,1868,False
1543,3.13619566441e-05,5.33086822543e-05,2755,2810,False
1544,1.81211871677e-05,2.62439843937e-05,295,463,False
1545,2.24473878916e-05,3.33596508426e-05,1508,1378,False
1546,2.05666856345e-05,3.08071284962e-05,1002,1089,False
1547,2.21493482968e-05,3.7826361222e-05,1434,1927,False
1548,2.11820806726e-05,2.76912160189e-05,1187,713,False
1549,2.99980711134e-05,4.11847977375e-05,2666,2425,False
1550,2.25152034545e-05,3.08970484184e-05,1531,1106,False
1551,2.96136349789e-05,4.36453919974e-05,2637,2664,False
1552,2.34641374846e-05,3.95428323827e-05,1736,2170,False
1553,2.37009298871e-05,3.66155181837e-05,1786,1768,False
1554,2.01926613954e-05,2.82591954601e-05,902,782,False
1555,2.66606293735e-05,3.8205729652e-05,2277,1963,False
1556,1.81538362085e-05,2.37144013226e-05,301,106,False
1557,2.54700407822e-05,3.68701221305e-05,2093,1804,False
1558,3.37719429808e-05,5.79788029427e-05,2858,2873,False
1559,1.83878673852e-05,2.90467669402e-05,348,877,False
1560,1.86892575584e-05,2.86579233943e-05,439,839,False
1561,2.16873177123e-05,3.19214414048e-05,1320,1215,False
1562,2.05066389753e-05,3.51435883204e-05,986,1597,False
1563,1.75687455339e-05,2.44560251303e-05,188,192,False
1564,3.09071619995e-05,4.42932723672e-05,2731,2710,False
1565,1.77339879883e-05,2.6673940738e-05,212,543,False
1566,2.84983289021e-05,4.49690087407e-05,2540,2742,False
1567,2.53982016147e-05,4.03818812629e-05,2073,2309,False
1568,2.49708282354e-05,3.86991705454e-05,2009,2043,False
1569,1.93219839275e-05,2.61439508904e-05,616,442,False
1570,2.53149682976e-05,3.61148304364e-05,2063,1705,False
1571,1.98960133275e-05,2.84314573946e-05,803,811,False
1572,2.36231571762e-05,3.5710119846e-05,1770,1665,False
1573,3.83789083571e-05,6.52876842651e-05,2966,2981,False
1574,1.90139617189e-05,3.06098445435e-05,528,1062,False
1575,2.09878962778e-05,3.2642052247e-05,1131,1294,False
1576,2.37817766902e-05,3.70690577256e-05,1807,1822,False
1577,1.96403161681e-05,3.38059799105e-05,708,1437,False
1578,1.99937185243e-05,2.44397360802e-05,828,189,False
1579,3.13299315167e-05,4.61129529867e-05,2750,2776,False
1580,2.15732434299e-05,3.02222924802e-05,1286,1008,False
1581,2.73668447335e-05,4.21974582423e-05,2404,2545,False
1582,2.34540711972e-05,3.70671550627e-05,1733,1821,False
1583,2.21906939259e-05,3.80497913284e-05,1441,1944,False
1584,2.04586940526e-05,2.87557522824e-05,971,850,False
1585,3.02758962789e-05,4.29965584772e-05,2685,2618,False
1586,1.63491531566e-05,2.33851224039e-05,38,82,False
1587,2.55972354353e-05,3.63703766197e-05,2115,1744,False
1588,3.805535016e-05,6.3809013227e-05,2962,2965,False
1589,2.05770011235e-05,2.78575953416e-05,1004,741,False
1590,1.97992449102e-05,2.96407470159e-05,773,950,False
1591,2.21345726459e-05,3.43694446201e-05,1429,1510,False
1592,1.87497280422e-05,3.28995847667e-05,451,1325,False
1593,2.12251870835e-05,2.99781822832e-05,1194,984,False
1594,2.96373527817e-05,4.30319378211e-05,2639,2622,False
1595,1.97443223442e-05,2.70428809017e-05,744,624,False
1596,2.64637128566e-05,4.12315930589e-05,2245,2429,False
1597,1.97883164219e-05,3.41053382726e-05,767,1476,False
1598,2.37563508563e-05,3.75204290322e-05,1797,1882,False
1599,1.97551235033e-05,2.53591442743e-05,751,321,False
1600,2.53178859566e-05,3.6049503251e-05,2065,1695,False
1601,2.05354026548e-05,2.55755167018e-05,994,349,False
1602,2.7649823096e-05,4.0661667299e-05,2437,2359,False
1603,3.63876861229e-05,5.89709052292e-05,2934,2900,False
1604,1.90184455278e-05,2.8635835406e-05,529,836,False
1605,2.22036323976e-05,3.31960654876e-05,1446,1360,False
1606,1.97081772058e-05,2.9686400012e-05,731,954,False
1607,1.5853842342e-05,2.9196144169e-05,17,900,False
1608,1.96365162992e-05,2.57858955592e-05,705,385,False
1609,3.2469353755e-05,4.55860135844e-05,2798,2760,False
1610,2.04010739253e-05,2.87087441393e-05,954,844,False
1611,2.847482574e-05,4.45566001872e-05,2536,2724,False
1612,2.5326749892e-05,3.82685211662e-05,2067,1977,False
1613,2.62711091636e-05,4.14836795244e-05,2214,2455,False
1614,2.10213220271e-05,2.64914124273e-05,1138,512,False
1615,2.89414329018e-05,4.04374659411e-05,2584,2319,False
1616,2.23215702135e-05,2.9087814255e-05,1475,884,False
1617,2.97956830764e-05,4.2173986003e-05,2650,2543,False
1618,3.69605222659e-05,5.9858764871e-05,2944,2916,False
1619,2.05291635211e-05,2.85981004708e-05,992,827,False
1620,2.1937827114e-05,3.39706384693e-05,1376,1455,False
1621,2.24854411499e-05,3.445872062e-05,1522,1518,False
1622,1.86298711924e-05,3.21460138366e-05,423,1243,False
1623,2.04262196348e-05,2.73556888715e-05,963,665,False
1624,3.11883595714e-05,4.58542999695e-05,2745,2767,False
1625,2.02992832783e-05,2.73529349215e-05,924,664,False
1626,3.09244969685e-05,4.54139262729e-05,2734,2756,False
1627,2.22299750021e-05,3.57098069799e-05,1451,1664,False
1628,2.31739377341e-05,3.83559381589e-05,1689,1990,False
1629,1.92653169506e-05,2.63947385974e-05,601,494,False
1630,2.55937029578e-05,3.73991388187e-05,2114,1867,False
1631,2.03605268325e-05,2.56188213825e-05,944,358,False
1632,2.42997266469e-05,3.42640123563e-05,1892,1496,False
1633,3.35519252985e-05,5.85443012824e-05,2852,2888,False
1634,1.78996851901e-05,2.69549018412e-05,241,610,False
1635,2.2037736926e-05,3.25264372805e-05,1403,1284,False
1636,2.3970458642e-05,3.61787024303e-05,1834,1716,False
1637,1.80748338607e-05,3.08253220282e-05,286,1092,False
1638,1.84865439223e-05,2.57307074207e-05,381,378,False
1639,2.90163861791e-05,4.1746730858e-05,2590,2491,False
1640,1.98729576368e-05,2.7165571737e-05,795,641,False
1641,2.67316954705e-05,4.38926654169e-05,2287,2681,False
1642,2.40694498643e-05,3.93379013985e-05,1856,2140,False
1643,2.44848906732e-05,4.14906426158e-05,1930,2458,False
1644,2.18537606997e-05,2.749154919e-05,1355,684,False
1645,2.61835521087e-05,3.73654875148e-05,2201,1860,False
1646,1.72487143573e-05,2.25023050007e-05,140,37,False
1647,2.53889211308e-05,3.93596783397e-05,2072,2144,False
1648,3.43547471857e-05,5.80765663472e-05,2876,2875,False
1649,1.69597260538e-05,2.51911824307e-05,98,294,False
1650,2.10749149119e-05,3.14808130497e-05,1152,1165,False
1651,2.37084277614e-05,3.50414957211e-05,1787,1585,False
1652,2.27709770115e-05,3.75267336494e-05,1586,1884,False
1653,1.83850879694e-05,2.43205104198e-05,347,170,False
1654,3.02479656966e-05,4.18205308961e-05,2683,2504,False
1655,1.98826874112e-05,2.85676669591e-05,800,824,False
1656,2.62078428932e-05,4.24277168349e-05,2203,2570,False
1657,2.44353304879e-05,3.77743817808e-05,1917,1918,False
1658,2.04931948247e-05,3.25927649101e-05,985,1290,False
1659,1.79269300133e-05,2.41062261921e-05,251,143,False
1660,2.92133208859e-05,3.97893090849e-05,2606,2210,False
1661,2.05177857424e-05,2.39858982241e-05,991,130,False
1662,2.99180428556e-05,4.16120674345e-05,2663,2474,False
1663,3.29886752297e-05,5.47575582459e-05,2828,2824,False
1664,1.85039716598e-05,2.66350543825e-05,384,536,False
1665,1.96401379071e-05,3.04777440761e-05,707,1045,False
1666,2.15220115933e-05,3.10834802804e-05,1270,1126,False
1667,1.79481939995e-05,2.99676194118e-05,256,980,False
1668,1.6549760403e-05,2.34139133681e-05,54,86,False
1669,3.33304451487e-05,4.67187346658e-05,2845,2782,False
1670,2.19284102059e-05,3.09527786158e-05,1371,1111,False
1671,2.58400759776e-05,4.15859358327e-05,2148,2471,False
1672,2.40915051108e-05,4.03288904636e-05,1861,2301,False
1673,2.55933791777e-05,4.08296364185e-05,2113,2379,False
1674,2.11924289033e-05,3.08331655106e-05,1189,1094,False
1675,2.62182293227e-05,3.71134119632e-05,2205,1829,False
1676,1.89873899217e-05,2.53968573816e-05,523,327,False
1677,2.58959880739e-05,3.62902210327e-05,2159,1734,False
1678,3.13454474963e-05,5.54633916181e-05,2751,2834,False
1679,1.74473407242e-05,2.43020003836e-05,165,167,False
1680,2.07700450119e-05,3.19750179187e-05,1062,1222,False
1681,2.29939178098e-05,3.36662997142e-05,1650,1421,False
1682,1.95031298063e-05,3.37457131536e-05,665,1432,False
1683,2.10649923247e-05,2.65572962235e-05,1150,522,False
1684,3.32685558533e-05,4.76668792544e-05,2838,2798,False
1685,1.95680113393e-05,2.78548559436e-05,685,740,False
1686,2.44522198045e-05,3.88353182643e-05,1923,2060,False
1687,2.44101993303e-05,3.86962929042e-05,1909,2042,False
1688,2.83864847006e-05,4.34998255514e-05,2525,2654,False
1689,2.03562412935e-05,2.66856914095e-05,941,545,False
1690,2.60243268713e-05,3.65548767149e-05,2175,1761,False
1691,1.89968250197e-05,2.32443217101e-05,525,76,False
1692,2.52049394476e-05,3.56256932719e-05,2046,1651,False
1693,3.28360001731e-05,5.6079501519e-05,2820,2842,False
1694,1.63093973242e-05,2.51573874266e-05,36,290,False
1695,2.13048097066e-05,3.2084655686e-05,1220,1233,False
1696,2.07866287383e-05,3.10112154693e-05,1069,1117,False
1697,1.71876254171e-05,3.21992338286e-05,135,1247,False
1698,1.94693438971e-05,2.6869109206e-05,655,591,False
1699,3.3052991057e-05,4.71104031021e-05,2831,2788,False
1700,2.22542184929e-05,3.0429866456e-05,1461,1035,False
1701,2.88883784378e-05,4.72140382044e-05,2578,2790,False
1702,2.76583250525e-05,4.42016062152e-05,2440,2700,False
1703,2.21901009354e-05,3.61468155461e-05,1440,1713,False
1704,1.97810750251e-05,2.68100138783e-05,763,572,False
1705,2.82842702291e-05,4.09218300774e-05,2507,2386,False
1706,2.11488677451e-05,2.69309712166e-05,1172,606,False
1707,2.96834041364e-05,4.36660011474e-05,2642,2665,False
1708,3.75506424461e-05,6.30801223451e-05,2956,2958,False
1709,1.90389055206e-05,2.84452798951e-05,538,814,False
1710,2.25068270083e-05,3.36198972946e-05,1527,1409,False
1711,2.438896081e-05,3.57332319254e-05,1905,1668,False
1712,1.9496303139e-05,3.40921214956e-05,662,1471,False
1713,1.9056335077e-05,2.67368723144e-05,543,556,False
1714,2.78857805824e-05,4.05497921747e-05,2463,2341,False
1715,1.72706550075e-05,2.43166487053e-05,142,169,False
1716,2.61053100985e-05,4.26773476647e-05,2185,2595,False
1717,2.55345221376e-05,3.99770506192e-05,2101,2245,False
1718,2.21842201427e-05,3.39245016221e-05,1439,1447,False
1719,1.84798263945e-05,2.38284337684e-05,377,115,False
1720,2.59727985394e-05,3.51160961145e-05,2169,1595,False
1721,2.09383106267e-05,2.53077632806e-05,1119,311,False
1722,2.76161536021e-05,4.02218211093e-05,2433,2285,False
1723,3.93663503928e-05,6.55775220366e-05,2985,2983,False
1724,1.74852339114e-05,2.52101981459e-05,169,296,False
1725,2.12859613384e-05,3.51445232809e-05,1210,1598,False
1726,2.3180307835e-05,3.67562643078e-05,1693,1793,False
1727,1.84321688721e-05,3.34173637384e-05,364,1385,False
1728,1.98709421966e-05,2.67457780865e-05,793,559,False
1729,2.79953001154e-05,4.11682158301e-05,2473,2424,False
1730,2.22993730858e-05,2.88827031909e-05,1468,864,False
1731,2.54672395386e-05,4.24498284701e-05,2092,2572,False
1732,2.45226365223e-05,3.98474003305e-05,1938,2225,False
1733,2.23088500206e-05,3.58676516043e-05,1471,1680,False
1734,2.00652866624e-05,2.71489625447e-05,851,638,False
1735,2.62243866018e-05,3.98025367758e-05,2207,2215,False
1736,1.98716570594e-05,2.52332756645e-05,794,299,False
1737,2.64121645159e-05,3.98850352212e-05,2238,2231,False
1738,3.29842878273e-05,5.71576529182e-05,2827,2858,False
1739,2.08264136745e-05,2.95616246149e-05,1083,938,False
1740,2.2989077479e-05,3.43376013916e-05,1649,1506,False
1741,2.47151328949e-05,3.91592584492e-05,1967,2120,False
1742,2.05880860449e-05,3.44911168213e-05,1005,1524,False
1743,1.97765857592e-05,2.72495508398e-05,761,649,False
1744,3.26281842717e-05,4.50865190942e-05,2807,2748,False
1745,1.89351667359e-05,2.53530943155e-05,508,320,False
1746,2.84280704363e-05,4.4543074182e-05,2530,2722,False
1747,2.6340578188e-05,4.03582234867e-05,2229,2303,False
1748,2.34619074035e-05,3.83570622944e-05,1735,1991,False
1749,2.05483756872e-05,2.64614591288e-05,996,503,False
1750,3.4227661672e-05,4.74251028209e-05,2870,2792,False
1751,1.95450284082e-05,2.46870768024e-05,679,218,False
1752,2.61409659288e-05,3.84618288081e-05,2195,2013,False
1753,3.25045148202e-05,5.53080462851e-05,2802,2830,False
1754,1.87637324416e-05,2.82901892206e-05,457,787,False
1755,2.31939702644e-05,3.3210581023e-05,1696,1361,False
1756,2.39841137954e-05,3.50399895979e-05,1837,1584,False
1757,2.13131406781e-05,3.50719092239e-05,1225,1589,False
1758,1.91909057321e-05,2.39301698457e-05,575,121,False
1759,2.45673945756e-05,3.1587875128e-05,1946,1177,False
1760,1.84011751116e-05,2.42647856794e-05,354,160,False
1761,2.46135441557e-05,3.90013556171e-05,1953,2093,False
1762,2.18352142838e-05,3.3594751585e-05,1349,1405,False
1763,2.09033005376e-05,3.08495364152e-05,1107,1096,False
1764,2.12620943785e-05,2.8114336601e-05,1204,765,False
1765,2.41193974944e-05,3.41355735145e-05,1864,1479,False
1766,1.59653682203e-05,1.9724790036e-05,19,4,False
1767,2.72376037174e-05,3.73686743842e-05,2375,1861,False
1768,3.47580353264e-05,5.80456180614e-05,2889,2874,False
1769,1.55267407536e-05,2.40831977862e-05,14,138,False
1770,2.0131788915e-05,3.16285986628e-05,876,1182,False
1771,2.30190871662e-05,3.36375815095e-05,1652,1413,False
1772,1.71931751538e-05,3.05716203002e-05,137,1054,False
1773,1.95688880922e-05,2.66259266937e-05,687,535,False
1774,2.83743083855e-05,4.08263367717e-05,2521,2378,False
1775,1.91385515791e-05,2.68478670478e-05,560,585,False
1776,2.48292508331e-05,3.97120093112e-05,1988,2194,False
1777,2.61806671915e-05,4.21646764153e-05,2200,2542,False
1778,2.10312155104e-05,3.48511639459e-05,1142,1567,False
1779,1.99111127586e-05,2.57374285866e-05,805,380,False
1780,3.30986040353e-05,4.59702168882e-05,2832,2771,False
1781,1.86236757145e-05,2.36611049331e-05,418,104,False
1782,2.44496623054e-05,3.55081901944e-05,1921,1644,False
1783,3.96204704884e-05,6.72282913001e-05,2988,2995,False
1784,1.90215741895e-05,2.73892546829e-05,532,668,False
1785,2.23679453484e-05,3.22573687299e-05,1494,1253,False
1786,2.35178122239e-05,3.48836874764e-05,1748,1569,False
1787,1.79247490451e-05,3.07423906634e-05,247,1079,False
1788,1.93141841009e-05,2.51640794886e-05,612,291,False
1789,3.06489928334e-05,4.17561859649e-05,2718,2494,False
1790,2.07182638405e-05,2.88138398901e-05,1046,856,False
1791,2.90581356239e-05,4.67617610411e-05,2595,2783,False
1792,2.08217934414e-05,3.49470683432e-05,1081,1576,False
1793,2.38483025896e-05,3.81256722903e-05,1815,1954,False
1794,1.87986152014e-05,2.41026955337e-05,466,142,False
1795,2.58461550402e-05,3.6667654058e-05,2149,1782,False
1796,1.93784289877e-05,2.52354620898e-05,626,301,False
1797,2.65437629423e-05,4.16194488935e-05,2255,2477,False
1798,3.39553880622e-05,5.91500393057e-05,2860,2904,False
1799,1.77043166332e-05,2.7098283681e-05,205,628,False
1800,2.1851315978e-05,3.26759000018e-05,1354,1299,False
1801,2.33537521126e-05,3.31295304932e-05,1718,1351,False
